104.35.238.164 - - [06/Aug/2023:21:25:28 +0000] "GET /filter HTTP/1.1" 500 265 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.491
104.35.238.164 - - [06/Aug/2023:21:27:50 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:27:50 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.004
104.35.238.164 - - [06/Aug/2023:21:27:52 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:27:53 +0000] "GET /filter HTTP/1.1" 200 5345 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.710
104.35.238.164 - - [06/Aug/2023:21:27:53 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:28:07 +0000] "POST /filter HTTP/1.1" 302 213 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.028
104.35.238.164 - - [06/Aug/2023:21:28:07 +0000] "GET /availability HTTP/1.1" 200 2458 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.428
104.35.238.164 - - [06/Aug/2023:21:28:08 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/availability" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:29:00 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:29:00 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:29:23 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.4 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.4 facebookexternalhit/1.1 Facebot Twitterbot/1.0" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:29:23 +0000] "GET /apple-touch-icon.png HTTP/1.1" 404 207 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.4 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.4 facebookexternalhit/1.1 Facebot Twitterbot/1.0" "104.35.238.164" response-time=0.001
104.35.238.164 - - [06/Aug/2023:21:29:23 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.4 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.4 facebookexternalhit/1.1 Facebot Twitterbot/1.0" "104.35.238.164" response-time=0.001
104.35.238.164 - - [06/Aug/2023:21:29:23 +0000] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 207 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.4 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.4 facebookexternalhit/1.1 Facebot Twitterbot/1.0" "104.35.238.164" response-time=0.001
104.35.238.164 - - [06/Aug/2023:21:29:29 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:29:29 +0000] "GET /static/starter-template.css HTTP/1.1" 200 404 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:29:30 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:29:35 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:29:35 +0000] "GET /filter HTTP/1.1" 200 5345 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.016
104.35.238.164 - - [06/Aug/2023:21:29:35 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:30:00 +0000] "POST /filter HTTP/1.1" 302 213 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.017
104.35.238.164 - - [06/Aug/2023:21:30:01 +0000] "GET /availability HTTP/1.1" 500 265 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.167
54.160.249.109 - - [06/Aug/2023:21:36:58 +0000] "GET / HTTP/1.1" 200 1707 "-" "python-requests/2.28.1" "54.160.249.109" response-time=0.018
104.35.238.164 - - [06/Aug/2023:21:37:02 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:37:02 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.007
104.35.238.164 - - [06/Aug/2023:21:37:04 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:37:04 +0000] "GET /filter HTTP/1.1" 200 5345 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.047
104.35.238.164 - - [06/Aug/2023:21:37:04 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:37:25 +0000] "POST /filter HTTP/1.1" 302 213 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.016
104.35.238.164 - - [06/Aug/2023:21:37:25 +0000] "GET /availability HTTP/1.1" 500 265 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.047
54.160.249.109 - - [06/Aug/2023:21:40:50 +0000] "GET / HTTP/1.1" 200 1707 "-" "python-requests/2.28.1" "54.160.249.109" response-time=0.024
104.35.238.164 - - [06/Aug/2023:21:40:54 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:40:54 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.005
104.35.238.164 - - [06/Aug/2023:21:40:56 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:40:56 +0000] "GET /filter HTTP/1.1" 200 5345 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.028
104.35.238.164 - - [06/Aug/2023:21:40:56 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:41:12 +0000] "POST /filter HTTP/1.1" 302 213 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.015
104.35.238.164 - - [06/Aug/2023:21:41:12 +0000] "GET /availability HTTP/1.1" 500 265 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.031
104.35.238.164 - - [06/Aug/2023:21:41:50 +0000] "GET / HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:41:51 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.003
104.35.238.164 - - [06/Aug/2023:21:41:53 +0000] "POST / HTTP/1.1" 302 201 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:41:53 +0000] "GET /filter HTTP/1.1" 200 5345 "https://residentsdoingthings.pythonanywhere.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.016
104.35.238.164 - - [06/Aug/2023:21:41:53 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:42:08 +0000] "POST /filter HTTP/1.1" 302 213 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.015
104.35.238.164 - - [06/Aug/2023:21:42:09 +0000] "GET /availability HTTP/1.1" 200 2480 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.431
104.35.238.164 - - [06/Aug/2023:21:42:09 +0000] "GET /static/starter-template.css HTTP/1.1" 304 0 "https://residentsdoingthings.pythonanywhere.com/availability" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "104.35.238.164" response-time=0.002
104.35.238.164 - - [06/Aug/2023:21:42:52 +0000] "POST /filter HTTP/1.1" 302 213 "https://residentsdoingthings.pythonanywhere.com/filter" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1" "104.35.238.164" response-time=0.028
